INDENT NO,WO NO,ITEM DESCRIPTION,MT ID,MT TYPE,QUT,UNIT,SIZE,THK,WIDTH,ID,VENDOR NAME,RATE EACH,DISCOUNT,OTHER EXP,TAX,QUT,PO NO,PO DESCRIPTION,AMOUNT,TAX AM,TOTALAMOUNT
1,M045,FAB-PLATE THK 8 X 232 X 877 ,PLATE,NA,4,KGS,8,232,877,0,GHANSHYAM VVN,70,0,0,18,51.11,,MT-PLATE Thk 8 Thk  X 232 X 877 mm Long,3577.710976,643.9879757,4221.698952
2,M045,FAB-3AH 550-GBC-A1_2,PLATE,NA,1,KGS,PLATE8,242,1244,0,GHANSHYAM VVN,70,0,0,18,18.91,,MT-PLATE Thk 8 Thk  X 242 X 1244 mm Long,1323.407008,238.2132614,1561.620269
3,M045,MT FAB MAIN PROFILE,PLATE,NA,4,KGS,PLATE50,115,758,0,GHANSHYAM VVN,70,0,0,18,136.86,,MT-PLATE Thk 50 Thk  X 115 X 758 mm Long,9579.983,1724.39694,11304.37994
4,M045,FAB-3AH 550-GBC-A1_4,PLATE,NA,4,KGS,PLATE20,40,142,,GHANSHYAM VVN,70,0,0,18,3.57,,MT-PLATE Thk 20 Thk  X 40 X 142 mm Long,249.6928,44.944704,294.637504
5,M045,3AH 550-GBC-A1_5,PLATE,NA,4,KGS,PLATE20,40,326,,GHANSHYAM VVN,70,0,0,18,8.19,,MT-PLATE Thk 20 Thk  X 40 X 326 mm Long,573.2384,103.182912,676.421312
6,M045,3AH 550-GBC-A1_6,PLATE,NA,2,KGS,PLATE25,77,470,,GHANSHYAM VVN,70,0,0,18,14.20,,MT-PLATE Thk 25 Thk  X 77 X 470 mm Long,994.32025,178.977645,1173.297895
7,M045,3AH 550-GBC-A1_7,PLATE,NA,1,KGS,PLATE6,35,856,,GHANSHYAM VVN,70,0,0,18,1.41,,MT-PLATE Thk 6 Thk  X 35 X 856 mm Long,98.77812,17.7800616,116.5581816
8,M045,3AH 550-GBC-A1_8,PLATE,NA,1,KGS,PLATE6,242,1175,,GHANSHYAM VVN,70,0,0,18,13.39,,MT-PLATE Thk 6 Thk  X 242 X 1175 mm Long,937.50195,168.750351,1106.252301
9,M045,C CHANNEL 75,CCH,NA,1,KGS,CH75,90,0,0,GHANSHYAM VVN,70,0,0,18,0.61,,MT-C CHANNEL 75 X 90 mm Long,42.84,7.7112,50.5512
10,M045,C CHANNEL 75,CCH,NA,4,KGS,CH75,80,0,0,GHANSHYAM VVN,70,0,0,18,2.18,,MT-C CHANNEL 75 X 80 mm Long,152.32,27.4176,179.7376
