WEIGHT/MM,SIZE,SHAPE
0.0068,75,ISMC
0.0092,100,ISMC
0.0127,125,ISMC
0.0164,150,ISMC
0.0191,175,ISMC
0.0221,200,ISMC
0.0259,225,ISMC
0.0304,250,ISMC
0.0358,300,ISMC
0.0421,350,ISMC
0.0494,400,ISMC
0.0115,100,ISMB
0.013,125,ISMB
0.0149,150,ISMB
0.0193,175,ISMB
0.0254,200,ISMB
0.0312,225,ISMB
0.0373,250,ISMB
0.0442,300,ISMB
0.0524,350,ISMB
0.0616,400,ISMB
0.0724,500,ISMB
0.0869,550,ISMB
0.1226,600,ISMB
0.0026,355,ISA
0.003,356,ISA
0.003,405,ISA
0.0035,406,ISA
0.0034,455,ISA
0.004,456,ISA
0.0038,505,ISA
0.0045,506,ISA
0.0045,605,ISA
0.0054,606,ISA
0.0049,655,ISA
0.0058,656,ISA
0.007,608,ISA
0.0077,658,ISA
0.0086,010,ISA
0.0068,756,ISA
0.0073,806,ISA
0.0082,906,ISA
0.0089,758,ISA
0.0092,1006,ISA
0.0094,6510,ISA
0.0096,808,ISA
0.0108,908,ISA
0.0121,1008,ISA
0.0149,10010,ISA
0.0177,10012,ISA
0.0235,13012,ISA
0.0273,15012,ISA
0.0358,15016,ISA
0.0441,15020,ISA
0.0485,20016,ISA
0.06,20020,ISA
0.000376929,5,Bolt
0.000538594,6,Bolt
0.000939929,8,Bolt
0.001425873,10,Bolt
0.001952921,12,Bolt
0.002664419,14,Bolt
0.003467203,16,Bolt
0.004944979,20,Bolt
0.007790728,24,Bolt
0.008,26,Bolt
0.01,30,Bolt
0.012,36,Bolt
0.015,40,Bolt
0.02,25,Bolt
